,Unnamed: 0,Lat,Lon,GFDL Std Fugacity Detrended,SOCAT Std Fugacity Detrended,GFDL Std pH Detrended,SOCAT Std pH Detrended,GFDL Std Omega Detrended,SOCAT Std Omega Detrended,Z
299,299,-47.5,152.5,11.015065938835503,16.889,0.0126846548519903,0.016867,0.1788534153244969,0.17269,4735.58251953125
300,300,-47.5,294.5,20.25887867695093,22.417,0.0204216479950782,0.02171,0.1322998292823044,0.15399,49.80944061279297
301,301,-46.5,4.5,5.216974928681278,15.443,0.0060510384005711,0.017334,0.1076383518968426,0.11181,4574.041015625
302,302,-46.5,5.5,4.8586662059362205,10.358,0.0055925404453891,0.010883,0.1139404030997276,0.08538,4337.2724609375
303,303,-46.5,51.5,4.687439672021017,23.556,0.0053466118791329,0.026774,0.111281477915772,0.13796,1023.5965576171875
304,304,-46.5,52.5,4.5479606006936,12.444,0.0051847735462362,0.013167,0.1110374525411937,0.074335,2093.865966796875
305,305,-46.5,53.5,4.220039717231818,9.8415,0.0048278760199945,0.0096996,0.1159325330171449,0.078801,3465.376220703125
306,306,-46.5,54.5,3.785178998397092,9.0618,0.0042768897763156,0.0093275,0.1272706580206886,0.072566,3817.017333984375
307,307,-46.5,72.5,3.835479009852576,19.885,0.0042895783679675,0.021348,0.1176078657628399,0.14092,2990.236083984375
308,308,-46.5,141.5,8.927782033202528,12.902,0.0104497519146261,0.013685,0.17148271948573,0.17437,4378.33056640625
309,309,-46.5,142.5,8.690718077651956,13.18,0.0101931106983779,0.014347,0.1716459874830124,0.1705,4281.33642578125
310,310,-46.5,143.5,8.46944951654189,17.61,0.0099105207016394,0.018852,0.171474309444219,0.1788,4720.15283203125
311,311,-46.5,146.5,8.810081404809129,14.368,0.0100843023470254,0.015589,0.1602621569075037,0.18763,2015.664794921875
312,312,-46.5,150.5,10.40160819363029,20.534,0.0119079078727275,0.020989,0.1811872147461675,0.2356,4538.3740234375
313,313,-46.5,151.5,10.516303369995986,21.947,0.0120972452431673,0.022379,0.1887878843609732,0.25875,4782.35986328125
314,314,-45.5,5.5,5.585325364372375,14.535,0.0065753168412793,0.015777,0.1051106460263727,0.11012,4110.45703125
315,315,-45.5,51.5,3.925489044621763,17.481,0.0045260117589985,0.01957,0.1382743757819014,0.10484,2305.1005859375
316,316,-45.5,52.5,3.8394999519909594,11.088,0.0044170326699913,0.011941,0.1463017872700985,0.085434,3096.972412109375
317,317,-45.5,72.5,5.300618823038497,11.396,0.0060553856564586,0.012822,0.1131827678999175,0.20663,3604.679931640625
318,318,-45.5,73.5,6.095728244573516,17.314,0.0069152593729971,0.018822,0.1202331842400746,0.27511,3627.974609375
319,319,-45.5,141.5,7.709565413546366,13.56,0.0089741259149819,0.014815,0.1784034168179673,0.16872,4688.46435546875
320,320,-45.5,142.5,7.747039988844805,17.228,0.0089481541781595,0.018143,0.1759956407784123,0.19605,4626.04931640625
321,321,-45.5,143.5,8.17271606605376,17.87,0.0093661765733773,0.018969,0.1742780299328293,0.21379,4788.2294921875
322,322,-45.5,144.5,8.66389360198316,18.288,0.0099045202737316,0.019459,0.1725087077142724,0.21031,3810.516357421875
323,323,-45.5,145.5,9.416413771994522,18.889,0.0106890187967262,0.019878,0.1722870734916213,0.27121,2534.051513671875
324,324,-45.5,146.5,9.915005718973047,7.0867,0.0112152333206481,0.0068953,0.175914007842288,0.13985,2754.82958984375
325,325,-45.5,147.5,10.473236358048908,13.714,0.0119147265576008,0.014559,0.1905401746971875,0.32204,3522.96630859375
326,326,-45.5,301.5,7.552718118499166,15.942,0.0086627907208943,0.018276,0.2288780894423614,0.21301,2437.586669921875
327,327,-44.5,6.5,7.566876531453166,12.05,0.0083737640613539,0.013462,0.1005741714934077,0.11525,4128.0947265625
328,328,-44.5,7.5,8.57877778137629,10.123,0.0094942734831311,0.010653,0.1122278014982549,0.10707,4355.65185546875
329,329,-44.5,52.5,4.926215831864062,23.312,0.0059890056478395,0.025826,0.1705411541633986,0.14913,3417.659423828125
330,330,-44.5,73.5,8.742290330563984,15.469,0.0099135432155274,0.016564,0.1493924174562322,0.21499,3519.504638671875
331,331,-44.5,144.5,9.20037257659788,17.08,0.0104490921144746,0.018367,0.1816983044977722,0.22291,3971.833740234375
332,332,-44.5,145.5,10.077141090058989,19.751,0.0113943256337204,0.021032,0.1922632954957111,0.25235,3054.763427734375
333,333,-44.5,146.5,10.944294512045843,15.612,0.0124740208479656,0.015882,0.2067066238158627,0.20073,2214.805419921875
334,334,-44.5,147.5,12.216018416648732,14.044,0.0139570374269005,0.014448,0.2322575081497952,0.15565,2444.098876953125
335,335,-44.5,148.5,12.164127629921634,15.527,0.0140097559765146,0.015993,0.2525645176079377,0.23191,3760.778076171875
336,336,-44.5,176.5,8.910229443740043,29.839,0.010297563131497,0.033452,0.2265916272185549,0.25903,923.1404418945312
337,337,-43.5,7.5,11.06536598940366,12.598,0.0125609515145981,0.013551,0.1621193628589353,0.12619,3783.5810546875
338,338,-43.5,8.5,10.619454728871808,10.067,0.0120519775354559,0.011401,0.1554136468256698,0.14974,4055.196044921875
339,339,-43.5,52.5,5.695317466032009,18.371,0.0069895976017544,0.019287,0.184065039948999,0.19687,3357.2177734375
340,340,-43.5,74.5,9.067024878815817,15.206,0.0103843639608512,0.015089,0.1654557287143326,0.1542,3443.225341796875
341,341,-43.5,145.5,12.216155735323149,16.33,0.0133774588325339,0.017127,0.1935315175408249,0.17652,1337.3603515625
342,342,-43.5,146.5,12.98195763451909,15.415,0.0144956409092068,0.015968,0.2067948153298483,0.1558,151.13539123535156
343,343,-43.5,147.5,11.94724134936495,22.439,0.0135205057508078,0.023724,0.2426282328545251,0.20494,237.08546447753906
344,344,-43.5,148.5,12.857689116452995,21.653,0.0146118660694646,0.023295,0.2887052452410078,0.24161,2676.205322265625
345,345,-43.5,174.5,8.868133227309114,33.738,0.0095687800038667,0.036605,0.1968084104690135,0.32267,511.70831298828125
346,346,-42.5,7.5,11.345424040005447,4.435,0.012983922509553,0.0045936,0.1767695492233088,0.063058,4741.75537109375
347,347,-42.5,52.5,6.193127894524325,29.965,0.006757391881704,0.033314,0.1773970713422762,0.35626,3560.77099609375
348,348,-42.5,74.5,7.737673866865864,11.535,0.008876284711222,0.011454,0.1764052552698345,0.14076,3393.112548828125
