,Lat,Lon,GFDL Std Fugacity Detrended,SOCAT Std Fugacity Detrended,GFDL Std pH Detrended,SOCAT Std pH Detrended,GFDL Std Omega Detrended,SOCAT Std Omega Detrended
1958,32.5,132.5,27.782209915193242,10.931,0.031147434024322657,0.009542,0.18108153265443344,0.11722
1959,32.5,133.5,28.45419363212472,12.208,0.03149384892160424,0.014422,0.18192390325466679,0.13631
1960,32.5,134.5,30.929205776148468,12.678,0.03375162166825799,0.015024,0.18717545371172595,0.13407
1961,32.5,135.5,32.0142654435135,30.542,0.03472809705291206,0.034897,0.18748229904209324,0.19658
1962,32.5,136.5,32.90500480365299,28.844,0.03550237708682249,0.033205,0.18836296999959623,0.22902
1963,32.5,137.5,33.502709035941365,26.397,0.03601273426432453,0.030777,0.19134597591346858,0.22595
1964,32.5,138.5,33.69673338605258,22.22,0.03621245324801975,0.025159,0.19873707250442052,0.18411
1965,32.5,139.5,33.79735940834541,14.815,0.03641819661470094,0.013582,0.20738763016190523,0.17277
1966,32.5,140.5,34.44520051421981,22.138,0.03702937231933778,0.025923,0.20926730892319875,0.18573
1967,32.5,141.5,36.72223624442641,18.555,0.03910474171684413,0.021506,0.19801854921399858,0.19334
1968,32.5,142.5,38.782259227576304,15.22,0.040873735978355905,0.018401,0.1915798002925387,0.17004
1969,32.5,143.5,39.31210277496012,16.245,0.041283614095967196,0.019847,0.19544050444564814,0.20375
1970,32.5,144.5,39.8525439780498,25.33,0.04166047099305964,0.028605,0.20059218380228394,0.20302
1971,32.5,145.5,40.930492183397305,26.714,0.04243124635884708,0.030885,0.20354479036629464,0.21619
1972,32.5,146.5,41.81243379593907,22.857,0.04300642511918684,0.026432,0.20652366906053798,0.1862
1973,32.5,147.5,41.926953281132384,28.037,0.04285445342879226,0.031574,0.21155947670019623,0.19934
1974,32.5,148.5,41.57990885974882,26.484,0.042262465738487666,0.029992,0.2177226595096998,0.22277
1975,32.5,149.5,41.336001303610864,24.821,0.04174613580164758,0.027842,0.22362206943288881,0.19179
1976,32.5,150.5,41.23882032723905,33.839,0.041389397367011374,0.037708,0.22696454489091777,0.23786
1977,32.5,151.5,41.10778507039163,33.267,0.04110689794782759,0.037165,0.22772122181768154,0.2705
1978,32.5,156.5,39.90246224522626,20.726,0.03980327507152067,0.023319,0.21907732802735325,0.24292
1979,32.5,159.5,40.15526953949194,33.949,0.039790750076238494,0.036668,0.2222216943901927,0.20295
1980,32.5,160.5,40.16885843416576,35.408,0.0397373252615105,0.038419,0.22395580294076167,0.20417
1981,32.5,161.5,40.18635657523907,9.6037,0.03971472154318705,0.010446,0.2252358750336006,0.11508
1982,32.5,162.5,40.05390995917251,1.5391,0.03957824412064432,0.0015901,0.22505227216649484,0.028929
1983,32.5,164.5,39.592167181355634,16.514,0.039225771677935624,0.017876,0.22094804754750944,0.17994
1984,32.5,165.5,39.14992801622253,28.629,0.038791988718512,0.030454,0.224283615825416,0.2019
1985,32.5,175.5,37.660129449207794,37.195,0.037242534727363455,0.039423,0.2175771285145229,0.26677
1986,32.5,178.5,37.60685081199385,11.647,0.03714839836977121,0.013363,0.2161740863644434,0.17232
1987,32.5,179.5,37.818231546620865,12.726,0.037318582258558594,0.014144,0.2138906524131344,0.16875
1988,32.5,180.5,38.01408039813225,4.8541,0.03746009693219523,0.0049815,0.20967861401178714,0.12057
1989,32.5,181.5,38.16449068391437,10.016,0.03754733544027287,0.010244,0.2069329640681865,0.11218
1990,32.5,186.5,39.87752454907567,7.4119,0.03887453926417088,0.0079368,0.20571070600392516,0.10377
1991,32.5,187.5,39.94727569809403,31.168,0.038943624217569285,0.032035,0.20553140645675141,0.12494
1992,32.5,188.5,39.92350860768721,34.82,0.038876266934911904,0.036022,0.20637337634562464,0.13219
1993,32.5,205.5,38.37627969636193,28.401,0.03639342078326037,0.028459,0.20754441999440662,0.15796
1994,32.5,218.5,33.43442890465322,29.024,0.03142334092085869,0.027662,0.1731785008141446,0.12423
1995,32.5,219.5,32.952568757773044,6.7364,0.030911173820787733,0.0067675,0.16765911225044436,0.16021
1996,32.5,220.5,32.50682003039139,5.7912,0.03041374837751609,0.0058109,0.15922088542022722,0.1403
1997,32.5,222.5,32.00328705988226,17.476,0.02997372561265237,0.018056,0.14473082561532927,0.15763
1998,32.5,223.5,31.82464544775157,11.174,0.029857189668388306,0.011366,0.14006204612335485,0.081454
1999,32.5,226.5,30.35802724451589,15.052,0.028507327244524976,0.014734,0.13305134408472782,0.1202
2000,32.5,229.5,29.093108683396473,25.306,0.027509281051525468,0.024707,0.11642830463037401,0.097811
2001,32.5,230.5,28.742044738644612,23.448,0.027165739556605728,0.022645,0.11743178543925828,0.080724
2002,32.5,231.5,28.445783250595802,15.239,0.02701551105937751,0.014344,0.11729178727037007,0.10963
2003,32.5,236.5,21.949042404144905,9.3715,0.021115689250538108,0.0094491,0.13590247805477915,0.050285
2004,32.5,240.5,26.448862837734318,8.9155,0.025406648838558803,0.008823,0.1422017648166065,0.12143
2005,32.5,241.5,30.43168353065477,10.915,0.028983598912580653,0.010786,0.1366523203408944,0.13079
2006,32.5,242.5,38.762593429243395,19.935,0.03646590356750618,0.019875,0.1373482583549268,0.16183
2007,32.5,280.5,51.1212220531671,56.581,0.053887586951863624,0.060035,0.31666551065527776,0.57354
2008,32.5,281.5,33.231970189511316,37.734,0.03412375723201673,0.040455,0.16434787109450272,0.25604
2009,32.5,282.5,27.54086145338544,27.192,0.027868116305122884,0.029667,0.13612064529070392,0.1573
2010,32.5,283.5,26.508056354647195,14.591,0.026702932533081963,0.015347,0.14562584630392783,0.11223
2011,32.5,285.5,29.204716891250484,29.377,0.029912804614101826,0.029833,0.13580760109850631,0.19824
2012,32.5,286.5,29.309228772811462,28.982,0.03046016828863354,0.031189,0.13707669140868667,0.15066
2013,32.5,288.5,30.963977194545723,34.772,0.03231234819570599,0.035056,0.14971114185170495,0.099842
2014,32.5,290.5,33.96148357481135,14.699,0.03500975080252331,0.018109,0.15446298140413414,0.14693
2015,32.5,295.5,36.2878794988532,41.785,0.03624207702018073,0.040301,0.18646664959706868,0.18053
2016,32.5,307.5,40.979624390599234,17.761,0.03992432693762483,0.019855,0.17455015298214954,0.12642
2017,32.5,308.5,41.023231207202635,30.417,0.03986763803407888,0.031693,0.17670991373519473,0.13445
2018,32.5,319.5,43.19520529003128,21.643,0.04086954240373589,0.021887,0.15932834252836833,0.22372
2019,32.5,320.5,42.88064554311516,37.07,0.04055668579588536,0.035388,0.15808379600225303,0.18204
2020,32.5,321.5,42.68473475504236,33.17,0.04026226928402534,0.032631,0.1607268324254797,0.12507
2021,32.5,322.5,42.39460961605048,18.945,0.039936341484536605,0.018945,0.15810963179932122,0.13496
2022,32.5,323.5,42.09884073549758,18.944,0.03968151982694144,0.017567,0.1530714255073069,0.16929
2023,32.5,324.5,41.81798794493884,17.912,0.03936717456531926,0.019762,0.15347211660554405,0.19821
2024,32.5,325.5,41.571314567253545,15.088,0.03909154067769813,0.015243,0.15178042988485396,0.1374
2025,32.5,326.5,41.08582882474451,10.266,0.03857980728796521,0.01108,0.15080135825128688,0.10684
2026,32.5,327.5,40.499648602984905,15.103,0.03799994422262834,0.015606,0.14735402853576085,0.13325
2027,32.5,328.5,39.718996787196915,18.562,0.037260910751446545,0.018999,0.1405773975825972,0.14498
2028,32.5,329.5,38.97584670337607,29.307,0.03649933617788834,0.028279,0.13747449250964017,0.13631
2029,32.5,330.5,38.33641049700488,28.219,0.035861668115703425,0.027555,0.13544525336381372,0.12316
2030,32.5,345.5,29.45728773010555,17.076,0.028494101714712988,0.017115,0.1265673463354254,0.13827
2031,32.5,346.5,27.68636874978986,18.748,0.02672086301445715,0.020091,0.12205415155588029,0.13673
2032,32.5,349.5,19.79500441150762,19.394,0.019447885570708656,0.020079,0.10995697222167428,0.13409
2033,32.5,350.5,18.927527202026045,18.278,0.018772429909753696,0.017871,0.09946494750576192,0.11854
2034,33.5,133.5,26.73642034596734,12.22,0.029974094424088406,0.013679,0.185957577863546,0.17133
2035,33.5,134.5,25.045581582005088,17.0,0.02937043420289168,0.020365,0.2033767233500273,0.2168
2036,33.5,135.5,23.695249651375388,24.855,0.026896038950602864,0.029168,0.20236235670504474,0.22298
2037,33.5,136.5,25.946744440525315,29.476,0.028982854540895175,0.033765,0.20574047240017004,0.29485
2038,33.5,137.5,26.85525983993455,18.388,0.02968047665527999,0.021497,0.21146894671470068,0.24691
2039,33.5,138.5,27.71011805449001,15.502,0.03034404023381977,0.017835,0.21757180043225574,0.21529
2040,33.5,139.5,28.177120216299734,27.208,0.030725341858283718,0.026445,0.22476758071780117,0.44317
2041,33.5,140.5,28.374877217115536,21.486,0.030803216696491127,0.024429,0.2350824302953551,0.21365
2042,33.5,141.5,30.519741876704,21.04,0.03291669507920839,0.024948,0.22952901857391947,0.21332
2043,33.5,142.5,33.316297944549895,22.879,0.03561123645381154,0.026774,0.2144542498883899,0.19554
2044,33.5,143.5,34.34375612699868,22.627,0.03658956915900055,0.025935,0.2123320755196387,0.19283
2045,33.5,144.5,34.63551677891682,25.519,0.036865670327810865,0.029305,0.217221972343286,0.22315
2046,33.5,145.5,35.7489021560881,32.114,0.03774100884171081,0.036256,0.21972597819949394,0.25829
2047,33.5,146.5,36.81619580127034,26.157,0.038480937101668757,0.029969,0.2210219126480391,0.20328
2048,33.5,147.5,37.30124163200854,17.877,0.03871517499449766,0.020953,0.22286603837972696,0.20737
2049,33.5,148.5,37.29568769044241,13.535,0.038559366017524924,0.015435,0.2256706826714239,0.19855
2050,33.5,149.5,37.34738308107442,25.71,0.03844796356941915,0.028799,0.22776357483552276,0.19356
